214.91,150.8,250.82,147.83
214.86,150.81,250.8,147.84
214.81,150.82,250.78,147.84
214.78,150.84,250.77,147.86
214.74,150.85,250.76,147.87
214.73,150.85,250.74,147.88
214.72,150.86,250.73,147.88
214.72,150.85,250.72,147.87
214.73,150.85,250.71,147.87
214.73,150.84,250.7,147.87
214.74,150.84,250.69,147.87
214.74,150.84,250.68,147.88
214.74,150.85,250.68,147.9
214.72,150.85,250.68,147.92
214.7,150.86,250.68,147.94
214.68,150.87,250.67,147.95
214.66,150.88,250.66,147.96
214.65,150.89,250.65,147.95
214.63,150.9,250.64,147.95
214.61,150.91,250.64,147.93
214.59,150.92,250.63,147.92
214.58,150.93,250.64,147.91
214.56,150.95,250.65,147.9
214.56,150.95,250.66,147.9
214.56,150.96,250.66,147.9
214.59,150.96,250.67,147.9
214.62,150.96,250.67,147.9
214.66,150.96,250.67,147.88
214.69,150.96,250.67,147.87
214.7,150.97,250.67,147.86
214.71,150.98,250.66,147.85
214.7,151,250.64,147.85
214.68,151.01,250.62,147.85
214.67,151.03,250.6,147.86
214.65,151.04,250.59,147.86
214.64,151.04,250.57,147.87
214.63,151.04,250.56,147.87
214.6,151.03,250.55,147.87
214.58,151.03,250.54,147.87
214.55,151.05,250.53,147.86
214.52,151.06,250.52,147.84
214.49,151.08,250.52,147.83
214.46,151.11,250.52,147.81
214.44,151.14,250.52,147.81
214.43,151.17,250.52,147.8
214.41,151.19,250.52,147.81
214.39,151.2,250.51,147.81
214.34,151.18,250.47,147.82
214.28,151.15,250.43,147.83
214.16,151.04,250.31,147.79
214.04,150.93,250.2,147.75
213.87,150.73,250.02,147.62
213.7,150.53,249.85,147.5
213.54,150.3,249.67,147.33
213.39,150.07,249.49,147.15
213.3,149.92,249.38,147.01
213.2,149.76,249.27,146.86
213.16,149.69,249.24,146.78
213.12,149.63,249.2,146.7
213.09,149.61,249.21,146.67
213.07,149.6,249.22,146.64
213.08,149.59,249.23,146.64
213.09,149.58,249.25,146.63
213.12,149.56,249.27,146.63
213.16,149.54,249.28,146.63
213.19,149.51,249.27,146.62
213.22,149.47,249.27,146.62
213.24,149.42,249.25,146.62
213.25,149.37,249.23,146.61
213.24,149.3,249.22,146.6
213.23,149.24,249.2,146.59
213.19,149.17,249.18,146.56
213.15,149.11,249.16,146.54
213.07,149.05,249.14,146.51
212.99,148.99,249.12,146.47
212.89,148.95,249.09,146.43
212.8,148.91,249.07,146.38
212.74,148.86,249.04,146.34
212.68,148.82,249.02,146.29
212.66,148.78,249,146.25
212.64,148.74,248.98,146.21
212.62,148.71,248.96,146.18
212.6,148.69,248.93,146.14
212.55,148.68,248.9,146.12
212.5,148.66,248.87,146.09
212.43,148.65,248.83,146.06
212.37,148.64,248.8,146.03
212.31,148.61,248.75,146
212.25,148.58,248.71,145.98
212.2,148.54,248.66,145.95
212.15,148.49,248.6,145.91
212.1,148.45,248.55,145.88
212.04,148.4,248.49,145.85
212,148.35,248.43,145.82
211.96,148.3,248.38,145.79
211.93,148.24,248.32,145.75
211.89,148.18,248.26,145.71
211.83,148.09,248.18,145.64
211.76,148.01,248.09,145.58
211.65,147.91,247.98,145.49
211.54,147.81,247.87,145.4
211.45,147.71,247.78,145.31
211.36,147.62,247.69,145.22
211.44,147.6,247.71,145.21
211.52,147.57,247.73,145.19
211.86,147.67,247.94,145.3
212.21,147.76,248.15,145.4
212.71,147.93,248.48,145.6
213.2,148.11,248.82,145.79
213.59,148.23,249.09,145.93
213.99,148.36,249.37,146.07
214.11,148.35,249.44,146.06
214.23,148.34,249.52,146.06
214.11,148.22,249.41,145.95
214,148.09,249.29,145.84
213.74,147.93,249.07,145.7
213.48,147.76,248.85,145.57
213.16,147.61,248.59,145.45
212.84,147.46,248.32,145.33
212.49,147.35,248.04,145.24
212.15,147.23,247.75,145.14
211.8,147.16,247.42,145.08
211.44,147.08,247.1,145.02
211.06,147.04,246.72,145
210.69,146.99,246.34,144.97
210.27,146.97,245.92,144.96
209.85,146.95,245.49,144.96
209.4,146.93,245.04,144.94
208.94,146.91,244.59,144.91
208.47,146.87,244.16,144.86
208.01,146.83,243.73,144.8
207.58,146.76,243.34,144.71
207.16,146.68,242.94,144.62
206.79,146.58,242.6,144.51
206.42,146.47,242.25,144.39
206.09,146.33,241.93,144.26
205.75,146.19,241.61,144.13
205.43,146.03,241.29,143.99
205.11,145.88,240.97,143.86
204.81,145.71,240.64,143.74
204.52,145.55,240.32,143.62
204.26,145.39,240,143.51
204,145.23,239.68,143.41
203.74,145.1,239.35,143.32
203.49,144.97,239.02,143.24
203.17,144.9,238.62,143.11
202.86,144.84,238.21,142.98
202.43,144.77,237.68,142.73
202,144.7,237.15,142.48
201.44,144.51,236.46,142.08
200.88,144.32,235.77,141.68
200.23,143.94,234.99,141.18
199.58,143.57,234.2,140.68
198.93,143.07,233.44,140.19
198.28,142.58,232.67,139.69
197.76,142.11,232.06,139.29
197.23,141.64,231.45,138.9
196.91,141.33,231.09,138.66
196.58,141.02,230.72,138.42
196.45,140.9,230.58,138.33
196.31,140.77,230.44,138.24
196.29,140.77,230.44,138.24
196.28,140.77,230.44,138.24
196.32,140.8,230.5,138.27
196.37,140.83,230.56,138.29
196.49,140.81,230.6,138.3
196.61,140.8,230.64,138.31
196.78,140.68,230.59,138.29
196.94,140.57,230.53,138.27
197.02,140.36,230.28,138.2
197.1,140.15,230.03,138.14
196.9,139.89,229.55,138.05
196.71,139.62,229.07,137.96
196.21,139.34,228.43,137.85
195.71,139.06,227.79,137.75
195.02,138.78,227.07,137.63
