fitPtX 	 fitPtY 	 fitPtZ 	 LeftPupil_X 	 LeftPupil_Y 	 RightPupil_X 	 RightPupil_Y 
401.434653	292.379857	1253.979007	168.952863	154.439186	240.604979	130.534422
401.451014	292.237929	1254.186182	168.961993	154.438544	240.607203	130.523956
401.388260	291.755408	1254.333795	168.971014	154.451098	240.606977	130.534441
401.386224	291.323704	1254.543704	168.980034	154.463652	240.606750	130.544926
401.332194	290.969206	1254.603328	168.987874	154.485726	240.609263	130.564359
401.239915	290.596298	1254.647282	168.995714	154.507801	240.611776	130.583791
401.118776	290.165143	1254.727313	169.001520	154.526583	240.610476	130.594519
401.165789	289.789231	1254.844290	169.007326	154.545366	240.609177	130.605247
401.137831	289.508914	1255.035886	169.010751	154.554535	240.604992	130.605849
401.027299	289.133537	1255.129328	169.014176	154.563705	240.600807	130.606450
401.231782	288.950218	1255.103283	169.019917	154.572590	240.602681	130.604957
401.256513	288.793407	1255.135975	169.025657	154.581476	240.604555	130.603464
401.261364	288.619183	1255.073426	169.034665	154.597317	240.611090	130.604224
401.313584	288.387003	1254.943664	169.043674	154.613158	240.617625	130.604984
401.370080	288.067780	1254.905794	169.047514	154.629202	240.616749	130.608520
401.427443	287.853598	1254.969382	169.051353	154.645245	240.615873	130.612056
401.437059	287.737491	1254.943449	169.040083	154.653798	240.602943	130.616085
401.434580	287.645480	1254.933889	169.028813	154.662351	240.590014	130.620114
401.335279	288.065782	1254.346288	168.999996	154.664717	240.574883	130.620412
401.307822	288.543140	1253.778810	168.971180	154.667083	240.559751	130.620710
401.099527	289.548354	1252.719445	168.936269	154.669136	240.553071	130.617247
400.899691	290.618835	1251.721588	168.901357	154.671189	240.546391	130.613784
400.869566	291.717359	1250.667827	168.875683	154.674335	240.549902	130.615321
400.799822	292.894802	1249.700481	168.850009	154.677481	240.553413	130.616857
400.874516	293.854556	1248.772767	168.837280	154.680552	240.566690	130.633177
400.798170	294.821674	1247.839059	168.824550	154.683623	240.579967	130.649498
400.923815	295.698821	1247.023235	168.823910	154.692676	240.603342	130.678072
400.978156	296.523324	1246.120726	168.823270	154.701729	240.626717	130.706647
401.267241	297.196021	1245.635020	168.834752	154.721988	240.654619	130.734145
401.360703	297.736766	1244.977152	168.846234	154.742246	240.682522	130.761644
401.396339	297.912600	1244.642683	168.860707	154.764636	240.703686	130.778029
401.471134	298.135253	1244.308999	168.875180	154.787026	240.724850	130.794414
401.362303	298.145125	1244.214589	168.878733	154.797420	240.727983	130.794325
401.076292	298.153207	1244.111321	168.882287	154.807815	240.731116	130.794236
400.844245	297.911566	1244.261124	168.873101	154.803914	240.713020	130.775359
400.436962	297.735253	1244.508448	168.863915	154.800013	240.694924	130.756482
400.288418	297.507328	1244.739169	168.846832	154.787550	240.667241	130.727246
400.024443	297.243006	1244.917645	168.829750	154.775086	240.639559	130.698009
399.954469	297.462076	1244.826674	168.804599	154.755584	240.614262	130.668044
399.739496	297.561240	1244.600508	168.779448	154.736082	240.588965	130.638078
399.730216	297.759848	1244.565913	168.758462	154.710526	240.566071	130.607989
399.863476	297.885447	1244.434820	168.737475	154.684969	240.543177	130.577900
400.036336	297.303228	1244.967688	168.740996	154.657422	240.525658	130.552129
400.263417	296.731032	1245.520653	168.744517	154.629875	240.508139	130.526359
400.509956	295.963958	1246.249090	168.764151	154.600067	240.501427	130.512026
400.668118	295.164722	1246.936144	168.783785	154.570258	240.494715	130.497692
400.708177	294.795844	1247.406043	168.795835	154.532229	240.489433	130.489076
400.524290	294.372710	1247.805580	168.807886	154.494199	240.484151	130.480460
