fitPtX 	 fitPtY 	 fitPtZ 	 LeftPupil_X 	 LeftPupil_Y 	 RightPupil_X 	 RightPupil_Y 
403.166583	305.307978	1229.086970	191.649315	198.098680	239.089774	157.500213
403.211428	305.686699	1228.755738	191.656844	198.078685	239.114146	157.511030
403.315868	306.106746	1228.444442	191.664373	198.058691	239.138517	157.521847
403.404510	307.417556	1227.074410	191.649774	198.071617	239.180749	157.555665
403.502155	308.797757	1225.766606	191.635175	198.084544	239.222981	157.589484
403.337811	310.905183	1223.443353	191.601099	198.144892	239.277074	157.622991
403.431062	313.134881	1221.155707	191.567023	198.205240	239.331167	157.656497
403.272899	314.177827	1219.796928	191.530864	198.286637	239.341298	157.681893
403.191199	315.265776	1218.478890	191.494704	198.368034	239.351430	157.707288
402.966332	312.972599	1220.649888	191.478553	198.433125	239.253163	157.732363
402.721345	310.641090	1222.788015	191.462401	198.498217	239.154895	157.757437
402.557852	306.290304	1227.085076	191.475779	198.539066	239.006417	157.785859
402.386370	301.885647	1231.261959	191.489158	198.579915	238.857939	157.814281
402.231592	299.445886	1233.531792	191.504993	198.614306	238.783841	157.837589
402.360584	297.049900	1235.825850	191.520829	198.648698	238.709743	157.860898
402.313830	299.236577	1233.597512	191.489407	198.685848	238.764459	157.872499
402.246896	301.458361	1231.407688	191.457985	198.722999	238.819175	157.884101
402.177267	306.949054	1225.998272	191.367933	198.748461	238.943196	157.892199
402.038720	312.574023	1220.557103	191.277881	198.773924	239.067216	157.900297
401.959571	316.643307	1216.745795	191.178795	198.769802	239.125796	157.915067
401.624971	320.591491	1212.785935	191.079708	198.765680	239.184377	157.929838
401.420915	319.746600	1213.776115	191.029003	198.736506	239.108852	157.942281
401.167947	318.860213	1214.753090	190.978298	198.707331	239.033328	157.954723
401.007854	315.234038	1218.400485	190.987720	198.674684	238.908966	157.946931
401.102171	311.747947	1222.120364	190.997143	198.642037	238.784604	157.939138
401.052715	309.237846	1224.665093	191.034097	198.616711	238.720730	157.913261
401.049718	306.698149	1227.182977	191.071052	198.591384	238.656855	157.887385
401.263243	306.124588	1227.953862	191.098604	198.570434	238.653821	157.865533
401.305994	305.464288	1228.639910	191.126156	198.549485	238.650786	157.843682
401.280692	305.348130	1228.755860	191.131752	198.539960	238.651237	157.838586
401.363531	305.275426	1228.889171	191.137347	198.530436	238.651687	157.833490
401.162388	305.262454	1228.787675	191.122872	198.545556	238.637952	157.830531
401.033210	305.222505	1228.694114	191.108397	198.560676	238.624218	157.827572
400.919140	306.010319	1227.967025	191.077165	198.587847	238.618524	157.810579
400.686336	306.722449	1227.187592	191.045934	198.615018	238.612831	157.793587
400.571981	307.886270	1226.011433	191.012899	198.621963	238.622950	157.774010
400.465399	309.119352	1224.853396	190.979864	198.628909	238.633069	157.754433
400.394445	309.970896	1223.998123	190.964474	198.612620	238.651005	157.749419
400.234932	310.800735	1223.143613	190.949083	198.596331	238.668941	157.744405
400.285171	311.884541	1221.942617	190.949229	198.588859	238.712491	157.749404
400.296277	313.026393	1220.786299	190.949374	198.581386	238.756041	157.754403
400.333607	315.331086	1218.377716	190.954001	198.597463	238.845408	157.752381
400.397213	317.647640	1215.960102	190.958628	198.613540	238.934775	157.750359
400.479965	320.077815	1213.490707	190.972349	198.630950	239.032276	157.733177
400.693661	322.587873	1211.064783	190.986070	198.648360	239.129777	157.715994
400.768693	323.130229	1210.562789	191.009818	198.639340	239.166751	157.693552
400.944843	323.745737	1210.131290	191.033566	198.630320	239.203726	157.671110
400.886436	321.803624	1212.242898	191.048398	198.596962	239.144063	157.661772
401.016535	319.863857	1214.334945	191.063230	198.563603	239.084401	157.652434
400.765257	316.401960	1217.680147	191.059381	198.540513	238.961221	157.672841
400.685093	313.048981	1221.069951	191.055533	198.517424	238.838040	157.693249
400.678528	310.651240	1223.112768	191.053201	198.520962	238.761154	157.743150
400.508098	308.256899	1225.150405	191.050869	198.524501	238.684267	157.793052
400.677465	308.448086	1224.733328	191.068261	198.531185	238.717619	157.836152
400.839815	308.607613	1224.285452	191.085652	198.537869	238.750971	157.879251
400.927465	309.462364	1223.390629	191.104901	198.531051	238.801302	157.878204
401.030710	310.354791	1222.528856	191.124150	198.524232	238.851633	157.877157
400.911092	310.046855	1222.979583	191.113582	198.510867	238.823221	157.845983
400.747965	309.769367	1223.465914	191.103013	198.497503	238.794810	157.814809
400.499913	309.825419	1223.657953	191.066437	198.489001	238.755775	157.792405
400.371415	309.891042	1223.832054	191.029860	198.480500	238.716739	157.770002
400.258152	311.281875	1222.471008	191.012331	198.488628	238.750848	157.766003
400.248339	312.695386	1221.093572	190.994801	198.496756	238.784957	157.762003
400.380741	312.803087	1220.953311	191.026599	198.523026	238.815671	157.761116
400.366626	312.822478	1220.732260	191.058396	198.549296	238.846385	157.760229
400.430962	309.450105	1224.040890	191.116897	198.564502	238.772218	157.755421
400.496681	305.997291	1227.225198	191.175399	198.579708	238.698050	157.750613
400.480780	301.632023	1231.606052	191.221301	198.546009	238.575459	157.745654
400.446155	297.331203	1235.963619	191.267203	198.512309	238.452868	157.740694
400.607797	296.027770	1237.375712	191.285163	198.443722	238.419612	157.730333
400.625167	294.697767	1238.779711	191.303123	198.375134	238.386356	157.719972
400.875399	297.614475	1236.122088	191.298640	198.326138	238.488781	157.696426
401.042961	300.460264	1233.392059	191.294157	198.277141	238.591205	157.672879
401.328105	305.246686	1228.657593	191.286235	198.269186	238.760928	157.647435
401.667468	310.165620	1223.932142	191.278313	198.261231	238.930650	157.621991
401.879708	314.669625	1219.302707	191.288033	198.278170	239.106684	157.614100
402.309246	319.310084	1214.692489	191.297752	198.295110	239.282718	157.606210
402.556364	323.472467	1210.303092	191.315478	198.325698	239.454559	157.617989
404.465911	327.603235	1228.040227	191.333205	198.356286	239.626400	157.629769
404.625292	305.039397	1227.944800	191.317998	198.394270	239.746122	157.645881
405.026927	304.996394	1227.926092	191.302791	198.432253	239.865845	157.661993
404.897012	305.002367	1228.061783	191.234342	198.459183	239.855998	157.670119
404.799582	305.078022	1228.253180	191.165894	198.486114	239.846152	157.678245
404.006036	305.078841	1228.208114	191.072507	198.488132	239.703215	157.682562
403.365659	305.127057	1228.186279	190.979120	198.490151	239.560279	157.686878
402.531921	305.196670	1228.260686	190.905083	198.477838	239.371282	157.696713
401.898099	327.941220	1228.428945	190.831046	198.465524	239.182284	157.706547
400.014681	324.649296	1209.307020	190.800571	198.460455	239.033131	157.719060
399.635308	321.238454	1212.724523	190.770096	198.455385	238.883978	157.731573
399.535133	318.754937	1215.233592	190.786410	198.459519	238.808371	157.738794
399.397306	316.175454	1217.624101	190.802724	198.463653	238.732764	157.746015
399.660863	315.049116	1218.842776	190.854244	198.454031	238.736886	157.748500
399.841869	313.785116	1219.959618	190.905764	198.444408	238.741007	157.750985
400.146907	313.251164	1220.492036	190.963266	198.406752	238.776197	157.750865
